chunk_id,file_id,chunk_index,content,section_header,section_level,parent_section,top_header,toc_full_path,toc_level,toc_numeric_id,toc_parent_id,content_type,estimated_tokens,prev_chunk_id,next_chunk_id,created_at,quality_score,eval_content_type,eval_reason,should_use
d7c5a411-baf6-470e-90b1-fd3f2f51da35,28c7ab28-a28e-491b-9f61-b66e34391df7,0,[REMOVED: Corrupted LaTeX content],,,,,,,,,prose,9,,718c9198-bd2e-4bbb-9429-bca82a844fd5,2026-01-08T19:52:43.666399,65.0,main_content,OK,True
718c9198-bd2e-4bbb-9429-bca82a844fd5,28c7ab28-a28e-491b-9f61-b66e34391df7,1,"## Current Best Practices for Training LLMs from Scratch  
Authors : Rebecca Li, Andrea Parker, Justin Tenuto www.wandb.ai  •  contact@wandb.ai",Current Best Practices for Training LLMs from Scratch,2,,,,,,,prose,36,d7c5a411-baf6-470e-90b1-fd3f2f51da35,12641e3d-198a-42da-9d3f-0477520e976d,2026-01-08T19:52:43.666419,0,metadata,Citation/Link chunk,False
12641e3d-198a-42da-9d3f-0477520e976d,28c7ab28-a28e-491b-9f61-b66e34391df7,2,"## Introduction  
Although we're only a few years removed from the transformer breakthrough, LLMs have already grown massively in performance, cost, and promise. At W&amp;B, we've been fortunate to see more teams try to build LLMs than anyone else. But many of the critical details and key decision points are often passed down by word of mouth.  
The goal of this white paper is to distill the best practices for training your own LLM for scratch. We'll cover everything from scaling and hardware to dataset selection and model training, letting you know which tradeoffs to consider and flagging some potential pitfalls along the way. This is meant to be a fairly exhaustive look at the key steps and considerations you'll make when training an LLM from scratch.  
The first question you should ask yourself is whether training one from scratch is right for your organization. As such, we'll start there:",Introduction,2,,,,,,,prose,184,718c9198-bd2e-4bbb-9429-bca82a844fd5,f895f22a-a0d1-4ee7-8c58-c66c34175a13,2026-01-08T19:52:43.666428,95.0,main_content,OK,True
f895f22a-a0d1-4ee7-8c58-c66c34175a13,28c7ab28-a28e-491b-9f61-b66e34391df7,3,"## BUILD VS. BUY PRE-TRAINED LLM MODELS  
Before starting LLM pre-training, the first question you need to ask is whether you should pre-train an LLM by yourself or use an existing one. There are three basic approaches:  
- Option 1: Use the API of a commercial LLM , e.g. GPT-3 (OpenAI, 2020), Cohere APIs, AI21 J-1
- Option 2: Use an existing open-sourced LLM , e.g. GPT-J (EleutherAI, 2021), GPT-NeoX (EleutherAI, 2022), Galactica (Meta AI), UL2 (Google, 2022), OPT (Meta AI, 2022), BLOOM (BigScience, 2022), Megatron-LM (NVIDIA, 2021), CodeGen (Salesforce, 2022)
- Option 3: Pre-train an LLM by yourself or with consultants : You can either manage your own training or hire LLM consultants &amp; platforms. For example, Mosaic ML provides training services focusing on LLMs.  
That said, there are a lot of details to consider when making your choice. Here are the pros, cons, and applicable scenarios for each option:  
| Option 1 Use the API of a commercial LLM                                                                                                                                                                                                                                                                                                                                                                                                        | Option 2 Use an existing open-sourced LLM                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Option 3 Pre-train an LLM by yourself or with consultants                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Pros                                                                                                                                                                                                                                                                                                                                                                                                                                            | Pros                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Pros                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| • Requires the least LLM training technical skills. • Minimum upfront training / exploration cost, given main cost incurs at inference time. • The least data-demanding option. Only a few examples (or no examples) are needed for models to perform inference. • Can leverage the best-performing LLMs in the market and build a superior experience. • Reduce time-to-market of your apps and de-risk your project with a working LLM model. | • A good way to leverage what LLMs have learned from a vast amount of internet data and build on top of it without paying for the IP at inference. • Compared to option one, you are less dependent on the future direction of LLM service providers and thus have more control regarding roadmap& backwards compatibility. • Compared to option three, you have a much faster time-to-value given you are not building LLMs from scratch, also leading to less data, training time, training budget needed. | • Compared to options one and two, you have the most control of your LLM's performance and future direction, giving you lots of flexibility to innovate on techniques and/or customize to your downstream tasks. • Gain full control of training datasets used for the pre-training, which directly impacts model quality, bias, and toxicity issues. In comparison, those issues are less controllable in option one or two. • Training your own LLM also gives you a deep moat: superior LLM performance either across horizontal use cases or tailored to your vertical, allowing you to build a sustaining advantage especially if you create a positive data/feedback loop with LLM deployments. |",BUILD VS. BUY PRE-TRAINED LLM MODELS,2,,,,,,,prose,708,12641e3d-198a-42da-9d3f-0477520e976d,b54aff85-9795-4792-8232-58b1989e2403,2026-01-08T19:52:43.666438,20,metadata,Low alpha (27.97%),False
b54aff85-9795-4792-8232-58b1989e2403,28c7ab28-a28e-491b-9f61-b66e34391df7,4,"## Option 1 Use the API of a commercial LLM  
- Commercial LLM services can get expensive with a high volume of finetuning or inference tasks. It comes down to LLM total-cost-of-ownership (TCO) amortized to each inference.
- Many industries / use cases forbid the use of commercial LLM services as sensitive data / PII data cannot be seen by the service for compliance (healthcare use cases, for example).
- If building external apps, you'll need to find other moats and de-risk your business if you're highly reliant on external LLM service technology.
- Less flexible downstream: doesn't support edge inference, limited ability to customize the model (finetuning gets expensive), limited ability for ongoing model improvements.
- Best if you either have less technical teams but want to leverage LLM techniques to build downstream apps, or you want to leverage the best-in-class LLMs for performance reasons (outsourcing the LLM tech).
- Good if you have very limited training datasets and want to leverage an LLM's capability to do zero/few-shot learning.
- Good for prototyping apps and exploring what is possible with LLMs.  
Use an existing open-sourced LLM",Option 1 Use the API of a commercial LLM,2,,,,,,,prose,249,f895f22a-a0d1-4ee7-8c58-c66c34175a13,aad80ea5-ad46-4668-a693-8585985af6ec,2026-01-08T19:52:43.666446,95.0,main_content,OK,True
aad80ea5-ad46-4668-a693-8585985af6ec,28c7ab28-a28e-491b-9f61-b66e34391df7,5,"- Not as demanding as building your own, but still requires lots of domain expert skills to train, finetune, and host an open-sourced LLM. LLM reproducibility is still a significant issue so the amount of time and work needed cannot be underestimated.
- Slower time-to-market and less agile if you are building downstream apps, due to a more vertical tech stack.
- Open-sourced models typically lag performance compared to commercial models by months/ years. If your competitor leverages commercial models, they have an advantage on LLM tech and you'll need to find other competitive advantages.",Cons,2,,,,,,,prose,122,b54aff85-9795-4792-8232-58b1989e2403,6249116a-84f9-4160-9438-959c75f6b36a,2026-01-08T19:52:43.666455,95.0,main_content,OK,True
6249116a-84f9-4160-9438-959c75f6b36a,28c7ab28-a28e-491b-9f61-b66e34391df7,6,"## When to consider each option  
- Between options two and three, if you aren't trying to change the model architecture, it is almost always better to either directly take an existing pre-trained LLM and fine-tune it or take the weights of an existing pre-trained LLM as a starting point and continue pre-training. The reason is because a good pre-trained LLM like GPT-NeoX has already seen a vast amount of data and thus has learned general capabilities from the data. You can leverage that learning especially if your training dataset is not huge or diverse.
- Another typical scenario is that you operate in a regulatory environment or have user / sensitive data that cannot be fed to commercial LLM services. Or you need edge deployment of the model for latency or locational reasons.",When to consider each option,2,,,,,,,prose,158,aad80ea5-ad46-4668-a693-8585985af6ec,aea0b0f8-e8d0-4c3b-8846-1c386756dfd4,2026-01-08T19:52:43.666464,95.0,main_content,OK,True
aea0b0f8-e8d0-4c3b-8846-1c386756dfd4,28c7ab28-a28e-491b-9f61-b66e34391df7,7,"## Option 3  
Pre-train an LLM by yourself or with consultants  
- Very expensive endeavor with high risks. Need cross-domain knowledge spanning from NLP/ML, subject matter expertise, software and hardware expertise. If not done well, you could end up in a situation where you've spent thousands or even millions of dollars with a suboptimal model. Mistakes, especially late into training stages, are hard to fix / unwind.
- Less efficient than option two. Option two leverages existing LLMs, learning from an entire internet's worth of data and can provide a solid starting point. With option 3, you start from scratch and need lots of high-quality / diverse datasets for your models to gain generalized capabilities.
- Best if you need to change model architecture  or training dataset from existing pre-trained LLMs. For example, if you want to  use a different tokenizer, change the vocabulary size, or change the number of hidden dimensions, attention heads, or layers.
- Typically, in this case the LLM is a core part of your business strategy &amp; technological moat. You are taking on some or a lot of innovations in LLM training, and have a large investment appetite to train and maintain expensive models on an ongoing basis.
- Typically, you have or will have lots of proprietary data associated with your LLM to create a continuous model improvement loop for sustainable competitive advantage.  
It is also worth mentioning that if you only have a very targeted set of use cases and don't need the general-purpose capabilities or generative capabilities from LLMs, you might want to consider training or fine-tuning a much smaller transformer or other much simpler deep learning models. That could result in much less complexity, less training time, and less ongoing costs.",Option 3,2,,,,,,,prose,361,6249116a-84f9-4160-9438-959c75f6b36a,edeefccc-0cd6-49ac-af6c-b068c752d31b,2026-01-08T19:52:43.666480,80.0,main_content,OK,True
edeefccc-0cd6-49ac-af6c-b068c752d31b,28c7ab28-a28e-491b-9f61-b66e34391df7,8,"## THE SCALING LAWS  
Before you dive into training, it's important to cover how LLMs scale. Understanding scaling lets you effectively balance the size and complexity of your model and the size of the data you'll use to train it.  
Some relevant history here: OpenAI originally introduced 'the LLM scaling laws' in 2020. They suggested that increasing model size was more important than scaling data size. This held for about two years before DeepMind suggested almost the polar opposite: that previous models were significantly undertrained and that increasing your foundational training datasets actually leads to better performance.  
That changed  in 2022. Specifically, DeepMind put forward an alternative approach in their Training Compute-Optimal Large Language Models paper. They found that current LLMs are actually significantly undertrained. Put simply: these large models weren't trained on nearly enough data.  
Deepmind showcased this with a model called Chinchilla, which is a fourth the size of the Gopher model above but trained on 4.6x more data. At that reduced size but with far more training data, Chinchilla outperformed Gopher and other LLMs.  
DeepMind claims that the model size and the number of training tokens* should instead increase at roughly the same rate to achieve optimal performance. If you get a 10x increase in compute, you should make your model 3.1x times bigger and the data you train over 3.1x bigger; if you get a 100x increase in compute, you should make your model 10x bigger and your data 10x bigger.  
*Note: Tokenization in NLP is an essential step of separating a piece of text into smaller units called tokens. Tokens can be either words, characters, or subwords. The number of training tokens is the size of training data in token form after tokenization. We will dive into detailed tokenization methods a little later.  
To the left of the minima on each curve, models are too  small -- a larger model trained on less data would be an improvement. To the right of the minima on each curve, models are too large -- a smaller model trained on more data would be an improvement. The best models are at the minima.  
DeepMind provides the following chart showing how much training data and compute you'd need to optimally train models of various sizes.  
| Parameters   |    FLOPS | FLOPs (in Gopher unit)   | Tokens        |
|--------------|----------|--------------------------|---------------|
| 400Million   | 1.92e+19 | 1/29,968                 | 8.0Billion    |
| 1 Billion    | 1.21e+20 | 1/4, 761                 | 20.2 Billion  |
| 10 Billion   | 1.23e+22 | 1/46                     | 205.1Billion  |
| 67Billion    | 5.76e+23 | 1                        | 1.5 Trillion  |
| 175 Billion  | 3.85e+24 | 6.7                      | 3.7 Trillion  |
| 280Billion   | 9.9e+24  | 17.2                     | 5.9 Trillion  |
| 520Billion   | 3.43e+25 | 59.5                     | 11.0 Trillion |
| 1 Trillion   | 1.27e+26 | 221.3                    | 21.2 Trillion |
| 10 Trillion  | 1.3e+28  | 22515.9                  | 216.2Trillion |  
Estimated optimal training FLOPs and training tokens for various model sizes, Training Compute-Optimal Large Language Models  
That said, most existing LLMs are still undertrained:  
Data/compute-optimal (Chinchilla) heatmap, Chinchilla data-optimal scaling laws: In plain English  
In summary, the current best practices in choosing the size of your LLM models are largely based on two rules:  
- Decide on  your dataset and find the Chinchilla-optimal model size based on data size (or close to Chinchilla-optimal within the boundary of your data collection limitation)
- Determine the data and model size combination that's best for your model, based on your training compute budget and inference latency requirements",THE SCALING LAWS,2,,,,,,,prose,936,aea0b0f8-e8d0-4c3b-8846-1c386756dfd4,b8a6321c-7717-4ee4-9dbb-343596ed7dba,2026-01-08T19:52:43.666489,55.0,main_content,OK,True
b8a6321c-7717-4ee4-9dbb-343596ed7dba,28c7ab28-a28e-491b-9f61-b66e34391df7,9,"## HARDWARE  
It should come as no surprise that pre-training LLMs is a hardware-intensive effort. The following examples of current models are a good guide here:  
- PaLM (540B, Google) : 6144 TPU v4 chips used in total, made of two TPU v4 Pods connected over data center network (DCN) using a combination of model and data parallelism
- OPT (175B, Meta AI) : 992 80GB A100 GPUs, utilizing fully shared data parallelism with Megatron-LM tensor parallelism
- GPT-NeoX (20B, EleutherAI): 96 40GB A100 GPUs in total
- Megatron-Turing NLG (530B, NVIDIA &amp; MSFT) :  560 DGX A100 nodes, each cluster node has 8 NVIDIA 80-GB A100 GPUs  
Training LLMs is challenging from an infrastructure perspective for two big reasons. For starters, it is simply no longer possible to fit all the model parameters in the memory of even the largest GPU (e.g. NVIDIA 80GB-A100), so you'll need some parallel architecture here. The other challenge is that a large number of compute operations can result in unrealistically long training times if you aren't concurrently optimizing your algorithms, software, and hardware stack (e.g. training GPT-3 with 175B parameters would require about 288 years with a single V100 NVIDIA GPU).",HARDWARE,2,,,,,,,prose,305,edeefccc-0cd6-49ac-af6c-b068c752d31b,8512dff0-ce4d-4237-8770-d75098b79454,2026-01-08T19:52:43.666498,65.0,main_content,OK,True
